case_id,order_index,order,N,rep,seed,estimate,error,abs_error,runtime_s
gaussian_rectangle_d5,2,3-2-4,256,11,1810012,0.1261393714428225,-2.095988236575086e-5,2.095988236575086e-5,0.00206825
gaussian_rectangle_d5,3,3-4-2,256,11,1810012,0.12615373533531318,-6.5959898750689305e-6,6.5959898750689305e-6,0.001940209
gaussian_rectangle_d5,4,4-3-2,256,11,1810012,0.12615904491546395,-1.2864097242992756e-6,1.2864097242992756e-6,0.001946792
gaussian_rectangle_d5,1,2-3-4,256,12,1810013,0.126151634172602,-8.697152586251145e-6,8.697152586251145e-6,0.001901833
gaussian_rectangle_d5,2,3-2-4,256,12,1810013,0.12615648795192805,-3.843373260203897e-6,3.843373260203897e-6,0.001915292
gaussian_rectangle_d5,3,3-4-2,256,12,1810013,0.12614135620097777,-1.8975124210479644e-5,1.8975124210479644e-5,0.001890416
gaussian_rectangle_d5,4,4-3-2,256,12,1810013,0.12616372097079795,3.389645609697123e-6,3.389645609697123e-6,0.001933584
gaussian_rectangle_d5,1,2-3-4,256,13,1810014,0.12616836537994555,8.034054757299902e-6,8.034054757299902e-6,0.001902875
gaussian_rectangle_d5,2,3-2-4,256,13,1810014,0.1261775026967331,1.7171371544860703e-5,1.7171371544860703e-5,0.001892625
gaussian_rectangle_d5,3,3-4-2,256,13,1810014,0.12617937288831124,1.90415631229901e-5,1.90415631229901e-5,0.001890125
gaussian_rectangle_d5,4,4-3-2,256,13,1810014,0.12619040278757512,3.0071462386871417e-5,3.0071462386871417e-5,0.001913917
gaussian_rectangle_d5,1,2-3-4,256,14,1810015,0.1261584965619794,-1.8347632088633326e-6,1.8347632088633326e-6,0.001905959
gaussian_rectangle_d5,2,3-2-4,256,14,1810015,0.12615725665178898,-3.074673399272587e-6,3.074673399272587e-6,0.001896916
gaussian_rectangle_d5,3,3-4-2,256,14,1810015,0.1261388278796289,-2.150344555934547e-5,2.150344555934547e-5,0.001919417
gaussian_rectangle_d5,4,4-3-2,256,14,1810015,0.1261504895531048,-9.841772083463152e-6,9.841772083463152e-6,0.001906833
gaussian_rectangle_d5,1,2-3-4,256,15,1810016,0.126171912226459,1.1580901270735744e-5,1.1580901270735744e-5,0.001931584
gaussian_rectangle_d5,2,3-2-4,256,15,1810016,0.12617097207567213,1.0640750483875694e-5,1.0640750483875694e-5,0.001936625
gaussian_rectangle_d5,3,3-4-2,256,15,1810016,0.12614601770997486,-1.4313615213396025e-5,1.4313615213396025e-5,0.001892916
gaussian_rectangle_d5,4,4-3-2,256,15,1810016,0.12615389563531512,-6.435689873129924e-6,6.435689873129924e-6,0.001919167
gaussian_rectangle_d5,1,2-3-4,256,16,1810017,0.1261369244656717,-2.3406859516544865e-5,2.3406859516544865e-5,0.001896875
