case_id,order_index,order,derivative,method,h,interior_margin,N,roughness,median_abs_derivative,p90_abs_derivative,max_abs_derivative,ad_status
gaussian_rectangle_d5,1,2-3-4,top_order_only,central_difference,0.002,0.04,256,0.007000409512945807,0.07418053150909376,0.14208506485084704,0.2835337589712772,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,1,2-3-4,top_order_only,central_difference,0.001,0.04,256,0.0070003974215800124,0.07418099641498532,0.14208430612616674,0.2835316842419999,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,2,3-2-4,top_order_only,central_difference,0.002,0.04,256,0.005977139254533378,0.06723785167962043,0.1376514692161268,0.2556300037100112,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,2,3-2-4,top_order_only,central_difference,0.001,0.04,256,0.005977121848821507,0.06723892796711706,0.13764742644306605,0.2556283240640056,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,3,3-4-2,top_order_only,central_difference,0.002,0.04,256,0.0036824267692365242,0.0571504334741929,0.10448593173398996,0.19059467892823534,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,3,3-4-2,top_order_only,central_difference,0.001,0.04,256,0.0036824449977567036,0.057150765890578985,0.10448772055915434,0.19059820388633852,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,4,4-3-2,top_order_only,central_difference,0.002,0.04,256,0.0042326027967774125,0.06336450038713776,0.10572503994239063,0.21199526422516213,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
gaussian_rectangle_d5,4,4-3-2,top_order_only,central_difference,0.001,0.04,256,0.004232622675507683,0.06336586810817835,0.10572308306588951,0.21199690614093214,"unavailable: MethodError: no method matching Float64(::ForwardDiff.Dual{ForwardDiff.Tag{var""#f#attempt_forwarddiff##0""{@NamedTuple{id::String; vine::DVineCopula{5; 4; Tuple{NTuple{4; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}; GaussianCopula{2; Matrix{Float64}}}; Tuple{GaussianCopula{2; Matrix{Float64}}}}}; lower::Vector{Float64}; upper::Vector{Float64}; interior::Bool}; VineCopulas._ReducedProbabilityPlan{VineCopulas._TerminalPairInfo{GaussianCopula{2; Matrix{Float64}}}; GaussianCopula{2; Matrix{Float64}}; Vector{GaussianCopula{2; Matrix{Float64}}}}; Vector{Int64}; Vector{Int64}; Vector{Float64}; VineCopulas._ReducedProbabilityWorkspace}; Float64}; Float64; 3}) The type `Float64` exists; but no method is defined for this combination of argument types when trying to construct it.  Closest candidates are:   (::Type{T})(::Real; !Matched::RoundingMode) where T<:AbstractFloat    @ Base rounding.jl:265   (::Type{T})(::T) where T<:Number    @ Core boot.jl:965   Float64(!Matched::IrrationalConstants.Halfπ)    @ IrrationalConstants ~/.julia/packages/IrrationalConstants/RokwY/src/macro.jl:111   ... "
