case_id,order_index,order,V_pi,iid_rmse,iid_N_rmse2_over_V,rqmc_N,rqmc_rmse,median_rqmc_runtime_s,top_derivative_roughness
gaussian_rectangle_d5,1,2-3-4,0.0003878645563156318,0.0005574445555141627,0.8203954026486934,16384,8.849442399712782e-8,0.124570708,0.0070003974215800124
gaussian_rectangle_d5,2,3-2-4,0.0006574497134818816,0.000797338700971352,0.9902004165710604,16384,6.905186654805125e-8,0.12387304199999999,0.005977121848821507
gaussian_rectangle_d5,3,3-4-2,0.0011011847332687069,0.0010549011812946553,1.0348164698664795,16384,8.452135618265633e-8,0.1237338335,0.0036824449977567036
gaussian_rectangle_d5,4,4-3-2,0.0015967870075496923,0.0012552287392069254,1.0104125100018024,16384,8.956706446970902e-8,0.1238503125,0.004232622675507683
gaussian_strong_d5,1,2-3-4,0.028511021020320566,0.005488647598462764,1.0819766327262483,16384,5.696527988710787e-6,0.10007125,NaN
gaussian_strong_d5,2,3-2-4,0.02833327007869542,0.005593904122462053,1.1309236654382142,16384,5.171382251751478e-6,0.1000261455,NaN
gaussian_strong_d5,3,3-4-2,0.02833327007869542,0.005593904122462053,1.1309236654382142,16384,5.171382251751478e-6,0.09952452049999999,NaN
gaussian_strong_d5,4,4-3-2,0.028511021020320566,0.005488647598462764,1.0819766327262483,16384,5.696527988710787e-6,0.099946438,NaN
genuine_rvine_d5,1,2-3-4,0.009864432269381803,0.002795002607515959,0.8109466725900931,16384,1.268419290958431e-6,0.097784375,NaN
genuine_rvine_d5,2,2-4-3,0.010214559336138991,0.002831967566769938,0.8040015233317725,16384,1.3100834966394275e-6,0.0987618125,NaN
genuine_rvine_d5,3,3-2-4,0.004980377451755208,0.0020912662223992766,0.8992000952218215,16384,1.5300092344732367e-6,0.0989406665,NaN
genuine_rvine_d5,4,4-2-3,0.009777894279439517,0.0031293523732149114,1.0255658631378155,16384,1.321699570409918e-6,0.09895662499999999,NaN
