case_id,design,model,point,d,conditioning_dimension,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,12,532254,reduced_conditional,0.21741956926009895,0.21062050838014906,0.006799060879949886,2.2375e-5,0.000637125,0.0006595,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,13,532255,current_indicator,0.1640625,0.21062050838014906,0.04655800838014906,1.8125e-5,0.000375833,0.000393958,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,13,532255,reduced_conditional,0.19582547047524365,0.21062050838014906,0.014795037904905411,1.9125e-5,0.000624167,0.0006432920000000001,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,14,532256,current_indicator,0.2109375,0.21062050838014906,0.00031699161985093705,1.7583e-5,0.000374042,0.000391625,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,14,532256,reduced_conditional,0.2096256051920333,0.21062050838014906,0.0009949031881157644,1.7541e-5,0.000623417,0.0006409580000000001,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,15,532257,current_indicator,0.17578125,0.21062050838014906,0.03483925838014906,1.7834e-5,0.000371292,0.000389126,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,15,532257,reduced_conditional,0.20657723999375563,0.21062050838014906,0.004043268386393434,1.9459e-5,0.000652917,0.000672376,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,16,532258,current_indicator,0.23046875,0.21062050838014906,0.019848241619850937,2.2125e-5,0.000372042,0.000394167,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,16,532258,reduced_conditional,0.21005775701645,0.21062050838014906,0.0005627513636990711,1.7583e-5,0.000637208,0.000654791,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,17,532259,current_indicator,0.2109375,0.21062050838014906,0.00031699161985093705,1.8375e-5,0.000364917,0.000383292,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,17,532259,reduced_conditional,0.21091428687434283,0.21062050838014906,0.0002937784941937638,1.95e-5,0.000644584,0.000664084,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,18,532260,current_indicator,0.1796875,0.21062050838014906,0.030933008380149063,1.9167e-5,0.000359334,0.000378501,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,18,532260,reduced_conditional,0.2034671095802862,0.21062050838014906,0.007153398799862876,1.7416e-5,0.000623917,0.000641333,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,19,532261,current_indicator,0.17578125,0.21062050838014906,0.03483925838014906,1.925e-5,0.000370291,0.00038954100000000003,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,19,532261,reduced_conditional,0.20109575884145675,0.21062050838014906,0.009524749538692312,1.9542e-5,0.000628208,0.00064775,31088,240,26,6,3840,768,256
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,20,532262,current_indicator,0.21875,0.21062050838014906,0.008129491619850937,1.7666e-5,0.000363958,0.000381624,31088,59264,26,66,NaN,NaN,NaN
gaussian_moderate_d5,gaussian_moderate,D,center,5,3,iid_mc,256,20,532262,reduced_conditional,0.20654900994480918,0.21062050838014906,0.004071498435339882,1.775e-5,0.000623834,0.000641584,31088,240,26,6,3840,768,256
