case_id,d,conditioning_dimension,rho,event,rule,N,rep,seed,method,estimate,reference,abs_error,generation_time_s,evaluation_time_s,total_runtime_s,generation_bytes,evaluation_bytes,generation_allocations,evaluation_allocations,hfunc_calls,hinv_calls,pair_cdf_calls
equicorr_interior_rho0_8_d100,100,98,0.8,interior,sobol_owen,256,1,101340752,current_indicator,0.8984375,0.8877957674278216,0.010641732572178375,0.024028667,3.9277015,3.951730167,28109520,6718428272,7940,333321,NaN,NaN,NaN
equicorr_interior_rho0_8_d100,100,98,0.8,interior,sobol_owen,256,1,101340752,reduced_conditional,0.8880523339210481,0.8877957674278216,0.0002565664932264733,0.029686083,1.766815958,1.796502041,28109520,112,7940,2,4967424,1216768,1024
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,2,20840753,current_indicator,0.53515625,0.5547860119171046,0.019629761917104638,0.12935925,0.025068291,0.154427541,14829040,2591008,184459,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,3,20840754,current_indicator,0.546875,0.5547860119171046,0.007911011917104638,0.005515958,0.02541675,0.030932707999999996,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,4,20840755,current_indicator,0.54296875,0.5547860119171046,0.011817261917104638,0.005491458,0.025450708,0.030942166,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,5,20840756,current_indicator,0.51953125,0.5547860119171046,0.03525476191710464,0.005369542,0.025507,0.030876542,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,6,20840757,current_indicator,0.55859375,0.5547860119171046,0.003807738082895362,0.005471083,0.025131917,0.030602999999999998,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,7,20840758,current_indicator,0.54296875,0.5547860119171046,0.011817261917104638,0.00554825,0.026628667,0.032176917,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,8,20840759,current_indicator,0.58984375,0.5547860119171046,0.03505773808289536,0.005938084,0.025479708,0.031417792,5657968,2591008,1620,2683,NaN,NaN,NaN
equicorr_cdf_rho0_3_d20,20,18,0.3,cdf,sobol_owen,256,9,20840760,current_indicator,0.54296875,0.5547860119171046,0.011817261917104638,0.022578,0.025565458,0.048143458,5657968,2591008,1620,2683,NaN,NaN,NaN
