industry,transform,pattern_index,pattern,terminal_adjacent,integration_dimension,N,R,seed,model_probability,numerical_se,empirical_frequency,runtime_s
NoDur,returns,41,2-4-5-1-3,false,3,4096,8,1944101,0.006824470967765662,2.8380155015142715e-7,0.008838643371017472,0.324211458
NoDur,returns,42,2-4-5-3-1,false,3,4096,8,1944201,0.006647153338679327,4.98590013676223e-7,0.008838643371017472,0.351811375
NoDur,returns,43,2-5-1-3-4,true,4,4096,8,1944301,0.007807005856078353,1.1016755738620557e-6,0.00986639260020555,0.387388
NoDur,returns,44,2-5-1-4-3,true,4,4096,8,1944401,0.007394738063839583,8.100068261120765e-7,0.00986639260020555,0.386718208
NoDur,returns,45,2-5-3-1-4,false,3,4096,8,1944501,0.008600212149337785,2.7266446108132744e-7,0.0067831449126413155,0.324406292
NoDur,returns,46,2-5-3-4-1,true,4,4096,8,1944601,0.008061864106745805,6.101658055294093e-7,0.008633093525179856,0.444181833
NoDur,returns,47,2-5-4-1-3,false,3,4096,8,1944701,0.007154879442670426,1.6923710531857974e-7,0.008633093525179856,0.319649041
NoDur,returns,48,2-5-4-3-1,true,4,4096,8,1944801,0.00718347989601908,5.397499407744344e-7,0.008427543679342241,0.437759041
NoDur,returns,49,3-1-2-4-5,false,3,4096,8,1944901,0.009709687845376251,1.1394568287002448e-6,0.009249743062692703,0.325325375
NoDur,returns,50,3-1-2-5-4,false,3,4096,8,1945001,0.008783874141124139,1.0478793948221909e-7,0.009044193216855087,0.301037959
NoDur,returns,51,3-1-4-2-5,false,3,4096,8,1945101,0.008510632961245003,3.0989204129763495e-6,0.009044193216855087,0.326136125
NoDur,returns,52,3-1-4-5-2,false,3,4096,8,1945201,0.007110969493489694,6.561326562973344e-8,0.008221993833504625,0.313095708
NoDur,returns,53,3-1-5-2-4,false,3,4096,8,1945301,0.00730977239608696,3.425824694023568e-7,0.0073997944501541625,0.288728167
NoDur,returns,54,3-1-5-4-2,false,3,4096,8,1945401,0.006754803553162929,2.4753614514006775e-7,0.007810894141829393,0.313386125
NoDur,returns,55,3-2-1-4-5,false,3,4096,8,1945501,0.010571556158848673,2.7780566905652517e-6,0.007605344295991778,0.340591958
NoDur,returns,56,3-2-1-5-4,false,3,4096,8,1945601,0.010474301412556638,3.0676472348511616e-7,0.010483042137718397,0.454499875
NoDur,returns,57,3-2-4-1-5,false,3,4096,8,1945701,0.009226628809566848,1.7626429010479134e-6,0.0073997944501541625,0.303770958
NoDur,returns,58,3-2-4-5-1,false,3,4096,8,1945801,0.008589871156888728,1.3589784384459082e-7,0.006166495375128468,0.298356375
NoDur,returns,59,3-2-5-1-4,false,3,4096,8,1945901,0.010351607174387115,2.1916297022781548e-7,0.008016443987667009,0.284470042
NoDur,returns,60,3-2-5-4-1,false,3,4096,8,1946001,0.009575604503530287,4.619180112107012e-7,0.007194244604316547,0.306822542
NoDur,returns,61,3-4-1-2-5,true,4,4096,8,1946101,0.008058766823331705,1.4856828296903527e-6,0.007605344295991778,0.428313834
NoDur,returns,62,3-4-1-5-2,true,4,4096,8,1946201,0.007312202554385436,4.879801152561791e-7,0.007810894141829393,0.41770025
NoDur,returns,63,3-4-2-1-5,true,4,4096,8,1946301,0.008118034857483424,7.902609680882331e-6,0.008427543679342241,0.413978209
NoDur,returns,64,3-4-2-5-1,true,4,4096,8,1946401,0.007708742098436194,6.79583505257496e-7,0.008633093525179856,0.416276958
NoDur,returns,65,3-4-5-1-2,true,4,4096,8,1946501,0.007684622798857761,5.583038680919165e-7,0.006372045220966085,0.607749708
NoDur,returns,66,3-4-5-2-1,true,4,4096,8,1946601,0.007947870248742515,3.412641146146771e-7,0.010688591983556012,0.426155375
NoDur,returns,67,3-5-1-2-4,false,3,4096,8,1946701,0.0076727716280269925,4.195240860028252e-7,0.009044193216855087,0.274245792
NoDur,returns,68,3-5-1-4-2,false,3,4096,8,1946801,0.00730434901885475,4.522749820063892e-7,0.007810894141829393,0.305034583
NoDur,returns,69,3-5-2-1-4,false,3,4096,8,1946901,0.009012640838492361,1.1322224208114176e-7,0.010277492291880781,0.299288792
NoDur,returns,70,3-5-2-4-1,false,3,4096,8,1947001,0.009055836274843196,6.333645021919039e-7,0.00986639260020555,0.322258916
NoDur,returns,71,3-5-4-1-2,false,3,4096,8,1947101,0.008022391559069595,1.6614011285466309e-7,0.008633093525179856,0.308037333
NoDur,returns,72,3-5-4-2-1,false,3,4096,8,1947201,0.008488378306633407,3.233000453500578e-7,0.008016443987667009,0.323656167
NoDur,returns,73,4-1-2-3-5,false,3,4096,8,1947301,0.008138676407977805,1.1757914465710253e-6,0.008221993833504625,0.328115667
NoDur,returns,74,4-1-2-5-3,false,3,4096,8,1947401,0.008769984658776552,2.0967153482410525e-7,0.008838643371017472,0.392850625
NoDur,returns,75,4-1-3-2-5,false,3,4096,8,1947501,0.007955423954970587,1.275541127192473e-6,0.008221993833504625,1.14900975
NoDur,returns,76,4-1-3-5-2,false,3,4096,8,1947601,0.008060589310013163,1.0942403104099459e-7,0.006988694758478931,0.443649291
NoDur,returns,77,4-1-5-2-3,false,3,4096,8,1947701,0.009586507021333365,2.8541451999611323e-7,0.0073997944501541625,0.37705225
NoDur,returns,78,4-1-5-3-2,false,3,4096,8,1947801,0.009070376789765258,3.8770149532914417e-7,0.009249743062692703,0.403191792
NoDur,returns,79,4-2-1-3-5,false,3,4096,8,1947901,0.007156368568155724,1.3318359271087185e-6,0.008427543679342241,0.67303625
NoDur,returns,80,4-2-1-5-3,false,3,4096,8,1948001,0.007631196289487743,6.733696284954502e-7,0.009044193216855087,0.425909459
NoDur,returns,81,4-2-3-1-5,false,3,4096,8,1948101,0.006759399523460698,1.2240939078670256e-6,0.008016443987667009,0.458247459
NoDur,returns,82,4-2-3-5-1,false,3,4096,8,1948201,0.0068280659567410106,1.8673305418976314e-7,0.009249743062692703,0.481124667
NoDur,returns,83,4-2-5-1-3,false,3,4096,8,1948301,0.007575613448422341,2.3717977498452374e-7,0.006988694758478931,0.451947125
NoDur,returns,84,4-2-5-3-1,false,3,4096,8,1948401,0.00719742917435086,2.9313281214764257e-7,0.008633093525179856,0.451694708
NoDur,returns,85,4-3-1-2-5,true,4,4096,8,1948501,0.007506105589728348,9.116707169354302e-7,0.009249743062692703,0.986150542
NoDur,returns,86,4-3-1-5-2,true,4,4096,8,1948601,0.007676770960938401,6.713043664727503e-7,0.0073997944501541625,0.640520542
NoDur,returns,87,4-3-2-1-5,true,4,4096,8,1948701,0.007212581293878227,7.676800022573705e-6,0.010894141829393628,0.584089042
NoDur,returns,88,4-3-2-5-1,true,4,4096,8,1948801,0.00730110076765908,8.894095838500151e-7,0.00945529290853032,0.6131015
NoDur,returns,89,4-3-5-1-2,true,4,4096,8,1948901,0.008244051530356174,2.529625877230976e-7,0.007605344295991778,0.592288
NoDur,returns,90,4-3-5-2-1,true,4,4096,8,1949001,0.008068697671099167,3.4277395209083246e-7,0.008838643371017472,0.620952959
NoDur,returns,91,4-5-1-2-3,false,3,4096,8,1949101,0.010427095831735386,2.959644884630308e-7,0.007810894141829393,0.362720167
NoDur,returns,92,4-5-1-3-2,false,3,4096,8,1949201,0.010366428979894683,8.619229923127378e-7,0.00986639260020555,0.399905708
NoDur,returns,93,4-5-2-1-3,false,3,4096,8,1949301,0.009323028341339433,9.232520906624039e-8,0.009249743062692703,0.626579333
NoDur,returns,94,4-5-2-3-1,false,3,4096,8,1949401,0.008883946183757327,5.577407603466276e-7,0.008221993833504625,0.397281667
NoDur,returns,95,4-5-3-1-2,false,3,4096,8,1949501,0.009901040375406813,1.7311444111025228e-7,0.008427543679342241,0.332685125
NoDur,returns,96,4-5-3-2-1,false,3,4096,8,1949601,0.009430028890865208,3.4949427029007826e-7,0.008016443987667009,0.361133041
NoDur,returns,97,5-1-2-3-4,true,4,4096,8,1949701,0.006685276778093471,6.873768554382374e-6,0.0067831449126413155,0.432554917
NoDur,returns,98,5-1-2-4-3,true,4,4096,8,1949801,0.007742077702259509,9.358954661795907e-6,0.007810894141829393,0.474955875
NoDur,returns,99,5-1-3-2-4,false,3,4096,8,1949901,0.0065151994933771865,1.3584887425749304e-6,0.008427543679342241,0.358815542
NoDur,returns,100,5-1-3-4-2,true,4,4096,8,1950001,0.007602823399609384,5.989858325438303e-6,0.008838643371017472,0.499486792
NoDur,returns,101,5-1-4-2-3,false,3,4096,8,1950101,0.00888527524119029,3.060699239874301e-6,0.008633093525179856,0.567382167
NoDur,returns,102,5-1-4-3-2,true,4,4096,8,1950201,0.009027412172090098,8.192425230053635e-6,0.010277492291880781,0.487731833
NoDur,returns,103,5-2-1-3-4,true,4,4096,8,1950301,0.007160409382876613,1.9404975325048742e-6,0.006166495375128468,0.442924666
NoDur,returns,104,5-2-1-4-3,true,4,4096,8,1950401,0.00763776130263752,1.1120447356675283e-6,0.010277492291880781,0.443004
NoDur,returns,105,5-2-3-1-4,false,3,4096,8,1950501,0.007969012128073466,1.3038360209564301e-6,0.010483042137718397,0.372681417
NoDur,returns,106,5-2-3-4-1,true,4,4096,8,1950601,0.008598546362869375,7.704971663757414e-6,0.009044193216855087,0.52037075
NoDur,returns,107,5-2-4-1-3,false,3,4096,8,1950701,0.00800745577249806,1.022808824856661e-6,0.010277492291880781,0.379775458
NoDur,returns,108,5-2-4-3-1,true,4,4096,8,1950801,0.008177569537625062,8.30515563732316e-6,0.008016443987667009,0.532203458
NoDur,returns,109,5-3-1-2-4,false,3,4096,8,1950901,0.007179771090934019,9.04334063517026e-7,0.006988694758478931,0.381562792
NoDur,returns,110,5-3-1-4-2,false,3,4096,8,1951001,0.008077151955264815,6.630919772702255e-7,0.006988694758478931,0.40583525
NoDur,returns,111,5-3-2-1-4,false,3,4096,8,1951101,0.00818871642694318,4.984508023765081e-7,0.009660842754367934,0.383337375
NoDur,returns,112,5-3-2-4-1,false,3,4096,8,1951201,0.00912489364034187,2.9285584250996747e-6,0.009044193216855087,0.414125833
NoDur,returns,113,5-3-4-1-2,true,4,4096,8,1951301,0.009364087650235373,1.5271981254925143e-6,0.008633093525179856,0.489777959
NoDur,returns,114,5-3-4-2-1,true,4,4096,8,1951401,0.009283861370185213,5.8279512454002095e-6,0.008838643371017472,0.499576833
NoDur,returns,115,5-4-1-2-3,false,3,4096,8,1951501,0.010338254381529459,4.4706334508140213e-7,0.00945529290853032,0.376208833
NoDur,returns,116,5-4-1-3-2,false,3,4096,8,1951601,0.010966776203635883,3.570425121851757e-6,0.00945529290853032,0.4249885
NoDur,returns,117,5-4-2-1-3,false,3,4096,8,1951701,0.009481562319503489,1.486647909543925e-6,0.006372045220966085,0.409527958
NoDur,returns,118,5-4-2-3-1,false,3,4096,8,1951801,0.009454413369020373,2.4934085134264938e-6,0.0073997944501541625,0.460406875
NoDur,returns,119,5-4-3-1-2,true,4,4096,8,1951901,0.010817782374679973,2.897046625402149e-6,0.009249743062692703,0.744448459
NoDur,returns,120,5-4-3-2-1,true,4,4096,8,1952001,0.010167911735145842,8.686839119815399e-6,0.00945529290853032,0.593554667
NoDur,absolute,1,1-2-3-4-5,true,4,4096,8,2040101,0.008678351675962525,9.83942756755167e-7,0.009808102345415778,2.009473917
NoDur,absolute,2,1-2-3-5-4,true,4,4096,8,2040201,0.008386402793317657,9.727171471731616e-7,0.00511727078891258,1.111165833
NoDur,absolute,3,1-2-4-3-5,true,4,4096,8,2040301,0.008512810793418351,5.016400230276043e-7,0.008955223880597015,1.303833792
NoDur,absolute,4,1-2-4-5-3,true,4,4096,8,2040401,0.008290681593737447,3.5560906241837597e-7,0.008742004264392323,1.507956625
NoDur,absolute,5,1-2-5-3-4,true,4,4096,8,2040501,0.008320639034420277,2.7387203668178943e-6,0.009808102345415778,1.093484334
NoDur,absolute,6,1-2-5-4-3,true,4,4096,8,2040601,0.008313128007358821,9.158771952830714e-7,0.00767590618336887,1.067196916
