case_id,rule,N,method,n,bias,rmse,median_abs_error,median_total_runtime_s,median_evaluation_time_s,p90_abs_error,complete_paired_comparison,rmse_ratio_reduced_current,runtime_ratio_reduced_current
gaussian_moderate_d5,iid_mc,256,current_indicator,30,-0.009058008380149063,0.03007653523170542,0.021484375,0.00039152,0.0003719375,0.047339258380149074,true,0.22675521021246026,1.67142546996322
gaussian_moderate_d5,iid_mc,256,reduced_conditional,30,-0.0014930674362143839,0.0068200110689278295,0.004397158049315744,0.0006543965,0.000635438,0.0097330841736427,true,0.22675521021246026,1.67142546996322
gaussian_moderate_d5,iid_mc,1024,current_indicator,30,-7.363338014906295e-5,0.01346496443561127,0.00927734375,0.0015507084999999998,0.0015178125,0.021167383380149063,true,0.2621650871384011,1.6604377934344208
gaussian_moderate_d5,iid_mc,1024,reduced_conditional,30,-0.0006576654071833517,0.0035300435745775007,0.002545720092531595,0.002574855,0.0025420625,0.006371733515017131,true,0.2621650871384011,1.6604377934344208
gaussian_moderate_d5,iid_mc,4096,current_indicator,30,-0.0008955734843157297,0.006703968879521154,0.00439453125,0.0063276675,0.0062353545,0.008529960483380752,true,0.1948851568666523,1.615978557659675
gaussian_moderate_d5,iid_mc,4096,reduced_conditional,30,-6.796565537298867e-5,0.0013065040267146355,0.0009818531279055243,0.010225375000000002,0.0101414375,0.002033665963233886,true,0.1948851568666523,1.615978557659675
gaussian_moderate_d5,iid_mc,16384,current_indicator,30,-0.000958643145774063,0.003382974846736845,0.001373291015625,0.025007416499999997,0.024751166499999998,0.004641426235369253,true,0.2395180336222876,1.6402350678647677
gaussian_moderate_d5,iid_mc,16384,reduced_conditional,30,-0.0004007481449109229,0.0008102834830840689,0.0006609695045136782,0.041018041500000005,0.04077325,0.0013909091847783192,true,0.2395180336222876,1.6402350678647677
gaussian_moderate_d5,iid_mc,65536,current_indicator,30,3.826440630927038e-5,0.001543916325955964,0.001068115234375,0.10105025000000001,0.099965146,0.0020725347473365637,true,0.25086146734280945,1.6187499140279216
gaussian_moderate_d5,iid_mc,65536,reduced_conditional,30,9.819309011766901e-6,0.0003873091149838324,0.0003143475623966774,0.1635750835,0.1626340205,0.0005558699255117788,true,0.25086146734280945,1.6187499140279216
