case_id,design,model,point,d,conditioning_dimension,N,method,n,reference,reference_uncertainty,reference_target_met,reference_split_half_z,reference_split_stable,reference_uncertainty_to_rmse,reference_resolved,median_abs_error,mean_abs_error,rmse,rmse_ci_low,rmse_ci_high,p90_abs_error,max_abs_error,median_runtime_s,runtime_ci_low_s,runtime_ci_high_s,median_bytes,median_allocations,median_hfunc_calls,median_hinv_calls,median_pair_cdf_calls
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,256,current_indicator,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,3.722254156505848e-9,true,0.005983277876635801,0.0078125,0.009080137503166575,0.007117101381842357,0.010786330640656145,0.0137957778766358,0.0216082778766358,0.0011917084999999998,0.0011851045,0.0012129375,1.170016e6,379.0,NaN,NaN,NaN
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,256,reduced_conditional,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,2.2759491110491263e-6,true,9.683856722883522e-6,1.2266411138262916e-5,1.4850323058069848e-5,1.1485626322814102e-5,1.8015799506384006e-5,2.4178539952923744e-5,3.11584889014227e-5,0.0012567289999999998,0.001249917,0.001278104,561728.0,176.0,3072.0,256.0,1024.0
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,1024,current_indicator,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,9.094371138154228e-9,true,0.002805784623364199,0.00296272826710288,0.003716428442315154,0.0028188956748243835,0.00450370250655901,0.006153809801308642,0.0079364028766358,0.004542083000000001,0.004514333,0.004751646,4.336768e6,405.0,NaN,NaN,NaN
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,1024,reduced_conditional,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,1.734631107618237e-5,true,1.4413154836856457e-6,1.6914832613817988e-6,1.9484592092444425e-6,1.57440811512777e-6,2.3207044228302136e-6,3.1128664950003104e-6,4.1799058430325164e-6,0.0049148545,0.004898458,0.004958542,2.077536e6,190.0,12288.0,1024.0,4096.0
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,4096,current_indicator,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,2.0863222491664586e-8,true,0.000732421875,0.0012039383995637865,0.0016200076271203957,0.001124554107763052,0.002065395165601658,0.0028790268108642002,0.004030152876635801,0.0187145835,0.018629938,0.01895525,1.7133184e7,429.0,NaN,NaN,NaN
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,4096,reduced_conditional,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,0.00013645407949467012,true,1.2398358886778205e-7,1.915831455442015e-7,2.476919685213705e-7,1.8146303129017792e-7,3.096184291355526e-7,4.117304208239858e-7,6.441165137371918e-7,0.019998854,0.019907604000000002,0.020083229,8.205408e6,202.0,49152.0,4096.0,16384.0
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,16384,current_indicator,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,5.69800775404446e-8,true,0.0003662109375,0.0004512936434228398,0.0005931648572927283,0.00042294691356471796,0.0007521486975985722,0.0010540756389891995,0.0014666763141358008,0.079750146,0.0787699375,0.080914479,6.9628032e7,453.0,NaN,NaN,NaN
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,16384,reduced_conditional,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,0.0008211563151987061,true,2.46434525841277e-8,3.228216865491795e-8,4.1159738940359635e-8,3.002267161379953e-8,5.155373286943558e-8,6.927504911102833e-8,1.0872407255058114e-7,0.082173542,0.0819013545,0.08275102914999999,3.3371488e7,214.0,196608.0,16384.0,65536.0
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,65536,current_indicator,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,1.4919099095685952e-7,true,0.0001678466796875,0.00017903645833333332,0.00022654571396056822,0.00017271748595820867,0.00027562343339443895,0.00035583647038580084,0.0005017074749266992,0.423853333,0.404873625,0.530685625,2.8432448e8,477.0,NaN,NaN,NaN
gaussian_rectangle_d4,gaussian_moderate,D,rectangle,4,2,65536,reduced_conditional,30,0.1700457778766358,3.3798579562806415e-11,true,0.0,true,0.0072169085619931015,true,3.527073494380417e-9,3.8232363904396514e-9,4.683248966295927e-9,3.6298583455268608e-9,5.612788707336261e-9,8.504619264382285e-9,8.667720652333344e-9,0.3928123335,0.388708333,0.5121195414999999,1.36394336e8,226.0,786432.0,65536.0,262144.0
gaussian_strong_d4,gaussian_strong,D,upper,4,2,256,current_indicator,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,1.6608757797891095e-8,true,0.00390625,0.005574891010875449,0.007076761569471558,0.005219308169301848,0.008826408400694267,0.010445057869494616,0.017939134836868265,0.001171979,0.0011634165,0.0011760210000000002,1.170016e6,379.0,NaN,NaN,NaN
gaussian_strong_d4,gaussian_strong,D,upper,4,2,256,reduced_conditional,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,8.639680170928914e-7,true,8.754143292882821e-5,0.00010640114756983454,0.00013604232630771052,9.585919533560933e-5,0.00017618888146204065,0.0002195899848143946,0.0003753493232931948,0.0009607915000000001,0.000957021,0.0009645,561728.0,176.0,1792.0,256.0,256.0
gaussian_strong_d4,gaussian_strong,D,upper,4,2,1024,current_indicator,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,2.8672137074594096e-8,true,0.0023141348368682646,0.003214171489124551,0.004099318393846674,0.003075220966122336,0.004931031391821061,0.007451490163131735,0.008428052663131735,0.0047230004999999995,0.004548771,0.004902417,4.336768e6,405.0,NaN,NaN,NaN
gaussian_strong_d4,gaussian_strong,D,upper,4,2,1024,reduced_conditional,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,5.18967018914954e-6,true,1.4703813696059775e-5,1.872778361345547e-5,2.2648109536232024e-5,1.7639186839609175e-5,2.7597526859158216e-5,3.6763993782174e-5,4.929562176869684e-5,0.0038523535,0.003802146,0.0039686875,2.077536e6,190.0,7168.0,1024.0,1024.0
gaussian_strong_d4,gaussian_strong,D,upper,4,2,4096,current_indicator,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,8.352548616297052e-8,true,0.0006155526631317354,0.001040279706498204,0.0014071898806005904,0.0009942608457142077,0.0017813245130996155,0.0023629629618682653,0.0035348379618682646,0.0188749995,0.018765667,0.0191871875,1.7133184e7,429.0,NaN,NaN,NaN
gaussian_strong_d4,gaussian_strong,D,upper,4,2,4096,reduced_conditional,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,2.0887494449752967e-5,true,4.1938161903232185e-6,4.693338461555137e-6,5.627109521609799e-6,4.459594877093441e-6,6.835608156437082e-6,8.419212701638036e-6,1.3263360334914154e-5,0.015554770999999998,0.0154431484375,0.0157316875,8.205408e6,202.0,28672.0,4096.0,4096.0
gaussian_strong_d4,gaussian_strong,D,upper,4,2,16384,current_indicator,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,1.9110708473122116e-7,true,0.0003915274149932646,0.0004896682101684628,0.0006150280564746371,0.0004535136574718987,0.0007681201183582292,0.0008137102132446121,0.0015310800068817354,0.07937368750000001,0.07862495850000001,0.08051548841250002,6.9628032e7,453.0,NaN,NaN,NaN
gaussian_strong_d4,gaussian_strong,D,upper,4,2,16384,reduced_conditional,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,0.00013104715943087217,true,6.244819543699265e-7,7.261528341517832e-7,8.969001648813113e-7,6.580335675237632e-7,1.1424056345552514e-6,1.4023623496783876e-6,2.5743741074446547e-6,0.064132875,0.063733042,0.0648040205,3.3371488e7,214.0,114688.0,16384.0,16384.0
gaussian_strong_d4,gaussian_strong,D,upper,4,2,65536,current_indicator,30,0.5882516348368683,1.1753621890077675e-10,true,0.0,true,3.860381541798527e-7,true,0.0002593994140625,0.00025838216145833334,0.00030446788129138497,0.0002489493417311836,0.0003578751936462814,0.00045075774125673544,0.0006613290303192354,0.5276321245,0.4100166465,0.5454568744999999,2.8432448e8,477.0,NaN,NaN,NaN
