case_id,d,event,dependence,method,N_or_maxpts,replicate,seed,estimate,reference,abs_error,runtime_s,internal_error,inform,algorithm,nshifts
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,11,729838,0.24192806363802938,0.24193572837980243,7.66474177305021e-6,0.000380666,3.0099391080504106e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,11,271838,0.2421875,0.24193572837980243,0.0002517716201975717,0.02052575,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,12,729839,0.24193022323288393,0.24193572837980243,5.50514691849413e-6,0.000376666,3.6267639688860005e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,12,271839,0.240478515625,0.24193572837980243,0.0014572127548024283,0.022900833,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,12,271839,0.2419376259153369,0.24193572837980243,1.8975355344785783e-6,0.013723042,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,13,271840,0.242919921875,0.24193572837980243,0.0009841934951975717,0.020675417,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,13,271840,0.24193640373290262,0.24193572837980243,6.753531001935098e-7,0.015895167,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,13,729840,0.2419324219409486,0.24193572837980243,3.3064388538228684e-6,0.000393166,2.8392371099686894e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,14,271841,0.2419373224246682,0.24193572837980243,1.5940448657714157e-6,0.0137535,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,14,729841,0.24191848418971068,0.24193572837980243,1.724419009174749e-5,0.000371,2.874228635909212e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,14,271841,0.2451171875,0.24193572837980243,0.0031814591201975717,0.021900208,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,15,729842,0.24194543206205377,0.24193572837980243,9.703682251338552e-6,0.000383459,4.148140300638441e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,15,271842,0.239013671875,0.24193572837980243,0.0029220565048024283,0.021687291,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,15,271842,0.24193891865508646,0.24193572837980243,3.1902752840318183e-6,0.013976417,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,16,271843,0.2421875,0.24193572837980243,0.0002517716201975717,0.0213595,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,16,271843,0.24193656186919224,0.24193572837980243,8.334893898120921e-7,0.014557,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,16,729843,0.2419364824599864,0.24193572837980243,7.540801839622802e-7,0.000379375,2.6365155648698783e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,17,271844,0.2419380197306346,0.24193572837980243,2.2913508321842357e-6,0.01546375,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,17,729844,0.24192579737358516,0.24193572837980243,9.931006217267502e-6,0.000380417,1.837774936638928e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,17,271844,0.240234375,0.24193572837980243,0.0017013533798024283,0.021647375,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,18,729845,0.24192774529717154,0.24193572837980243,7.983082630891314e-6,0.000400875,3.795683233570096e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,18,271845,0.24462890625,0.24193572837980243,0.0026931778701975717,0.021526041,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,18,271845,0.24193302427303562,0.24193572837980243,2.7041067668098773e-6,0.013759834,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,19,271846,0.244873046875,0.24193572837980243,0.0029373184951975717,0.023142584,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,19,271846,0.24193130014147873,0.24193572837980243,4.4282383236948775e-6,0.013862792,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,19,729846,0.24193138239516748,0.24193572837980243,4.345984634945843e-6,0.000391959,3.1898521657050786e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,20,271847,0.24193657267598206,0.24193572837980243,8.44296179636217e-7,0.015325333,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,20,729847,0.2419174330279049,0.24193572837980243,1.829535189754039e-5,0.000391083,3.107274093888948e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,20,271847,0.24365234375,0.24193572837980243,0.0017166153701975717,0.021534542,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,21,729848,0.24193575911889398,0.24193572837980243,3.073909154993615e-8,0.000387291,4.7806932340875425e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,21,271848,0.23828125,0.24193572837980243,0.0036544783798024283,0.021727625,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,21,271848,0.24193513690858726,0.24193572837980243,5.914712151722235e-7,0.015198042,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,current_indicator,4096,22,271849,0.238525390625,0.24193572837980243,0.0034103377548024283,0.021518084,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,22,271849,0.2419357466761614,0.24193572837980243,1.8296358983427297e-8,0.013806917,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,22,729849,0.24193504957785783,0.24193572837980243,6.788019445980176e-7,0.000400167,2.2548117636216128e-5,1,mvsort_rqmc,10
gaussian_moderate_d4,4,CDF,moderate,reduced_conditional,4096,23,271850,0.24193558978175345,0.24193572837980243,1.3859804898208594e-7,0.015335291,NaN,-1,,1
gaussian_moderate_d4,4,CDF,moderate,additionaldistributions,4096,23,729850,0.24194869546142733,0.24193572837980243,1.2967081624903898e-5,0.000370291,4.922450787686994e-5,1,mvsort_rqmc,10
