"case_id","d","event","dependence","method","N_or_maxpts","replicate","seed","estimate","reference","abs_error","runtime_s","internal_error","status","algorithm"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,25,829852,0.242002769637355,0.241935728379802,6.70412575525803e-05,0.001,0.000115496520852837,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,26,829853,0.241930747030898,0.241935728379802,4.98134890486446e-06,0.001,8.1662498158271e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,27,829854,0.241993011863141,0.241935728379802,5.72834833386937e-05,0.001,0.000114386318282932,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,28,829855,0.241929862481683,0.241935728379802,5.86589811976679e-06,0.001,8.94738183571342e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,29,829856,0.241941175756885,0.241935728379802,5.4473770823571e-06,0.001,9.58503044600593e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_moderate_d4",4,"CDF","moderate","mvtnorm_genzbretz",4096,30,829857,0.241948223509585,0.241935728379802,1.24951297826581e-05,0.001,0.000127083447166062,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,1,829828,0.126166421989879,0.126160331325188,6.09066469056674e-06,0.001,1.72471918245301e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,2,829829,0.126167266190824,0.126160331325188,6.9348656357715e-06,0.001,3.21745919349722e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,3,829830,0.126160122825945,0.126160331325188,2.08499243536941e-07,0.001,2.93868635102958e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,4,829831,0.126162683112018,0.126160331325188,2.3517868295575e-06,0.001,1.98078753372213e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,5,829832,0.126160967287074,0.126160331325188,6.35961885431247e-07,0.001,3.1898065602659e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,6,829833,0.126155291727634,0.126160331325188,5.03959755385197e-06,0.001,1.49231109399076e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,7,829834,0.126157878951026,0.126160331325188,2.45237416257593e-06,0.001,1.7068898515989e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,8,829835,0.126147042807651,0.126160331325188,1.32885175375685e-05,0.001,1.72114799405101e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,9,829836,0.126163665729993,0.126160331325188,3.33440480498881e-06,0.001,1.7626577717384e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,10,829837,0.12616116737357,0.126160331325188,8.36048381247512e-07,0.001,2.15292326639806e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,11,829838,0.126161088360259,0.126160331325188,7.57035070991785e-07,0.00100000000000011,2.80606257137738e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,12,829839,0.126166698716621,0.126160331325188,6.36739143256015e-06,0.00099999999999989,8.54496584725249e-06,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,13,829840,0.126160545259895,0.126160331325188,2.13934706672081e-07,0.00100000000000011,2.0705105241974e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,14,829841,0.126167396938903,0.126160331325188,7.0656137148295e-06,0.00100000000000011,8.69296626244282e-06,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,15,829842,0.126173117419822,0.126160331325188,1.27860946339819e-05,0.00100000000000011,2.44522068489893e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,16,829843,0.126175424527212,0.126160331325188,1.50932020233085e-05,0.00099999999999989,1.74990073218675e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
"gaussian_rectangle_d5",5,"interior","moderate","mvtnorm_genzbretz",4096,17,829844,0.126164316708475,0.126160331325188,3.98538328677533e-06,0.00099999999999989,2.81047456733317e-05,"Completion with error > abseps","mvtnorm::GenzBretz"
