case_id,d,event,dependence,reference,lower_z,upper_z,correlation,density_parity_error
gaussian_moderate_d4,4,CDF,moderate,0.24193572837980243,-Inf|-Inf|-Inf|-Inf,0.12566134685507416|0.12566134685507416|0.12566134685507416|0.12566134685507416,1.0|0.45|0.5229241071428572|0.5642673711117512|0.45|1.0|0.45|0.5229241071428572|0.5229241071428572|0.45|1.0|0.45|0.5642673711117512|0.5229241071428572|0.45|1.0,1.1102230246251565e-15
gaussian_rectangle_d5,5,interior,moderate,0.12616033132518825,-1.4050715603096324|-1.4050715603096324|-1.4050715603096324|-1.4050715603096324|-1.4050715603096324,-0.05015358346473367|0.20189347914185074|0.46769879911450835|0.772193214188685|1.1749867920660904,1.0|0.45|0.5229241071428572|0.5642673711117512|0.5840855074801075|0.45|1.0|0.45|0.5229241071428572|0.5642673711117512|0.5229241071428572|0.45|1.0|0.45|0.5229241071428572|0.5642673711117512|0.5229241071428572|0.45|1.0|0.45|0.5840855074801075|0.5642673711117512|0.5229241071428572|0.45|1.0,6.661338147750939e-16
gaussian_strong_d4,4,CDF,strong,0.5882516348368683,-Inf|-Inf|-Inf|-Inf,0.5828415072712162|0.5828415072712162|0.5828415072712162|0.5828415072712162,1.0|0.82|0.9122499999999999|0.9012395161290323|0.82|1.0|0.82|0.9122499999999999|0.9122499999999999|0.82|1.0|0.82|0.9012395161290323|0.9122499999999999|0.82|1.0,2.842170943040401e-14
gaussian_strong_d5,5,CDF,strong,0.5746657749936169,-Inf|-Inf|-Inf|-Inf|-Inf,0.5828415072712162|0.5828415072712162|0.5828415072712162|0.5828415072712162|0.5828415072712162,1.0|0.82|0.9122499999999999|0.9012395161290323|0.8908286244366697|0.82|1.0|0.82|0.9122499999999999|0.9012395161290323|0.9122499999999999|0.82|1.0|0.82|0.9122499999999999|0.9012395161290323|0.9122499999999999|0.82|1.0|0.82|0.8908286244366697|0.9012395161290323|0.9122499999999999|0.82|1.0,1.0302869668521453e-12
